Gene,40 S 3hrs,40 S 24hrs,40 S 48hrs,40 S 72hrs,40 T 3hrs,40 T 24hrs,40 T 48hrs,40 T 72hrs,41 S 24hrs,41 S 48hrs,41 S 72hrs,96 S 3hrs,96 S 24hrs,96 S 48hrs,96 S 72hrs,96 T 3hrs,96 T 24hrs,96 T 48hrs,96 T 72hrs
A2ML1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAAS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AACS,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAK1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AAMDC,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AARS1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDHPPT,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AATBC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AATF,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ABCA1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
ABCA12,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
ABCA13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCA5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCB9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABCC1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCC10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCC3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCC4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCC5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCE1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ABCF2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABCG1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ABHD11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABHD13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17C,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
ABHD2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ABHD4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ABHD6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ABL1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABL2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
ABLIM1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABLIM3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
ABR,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
